Date,Private equity,Private equity returns,MSCI PRICE,MSCI TOTAL RETURN,MSCI TOTAL RETURN.1,gold,LEV LOANS INDEX,CORPORATE BONDS TR,REITs GLOBAL TR,Fama French Market,Fama French Size,Fama French Value,Fama French Robust,Fama French Conservative,Risk free
1993-11-30,275.57,0.017239597576575783,561.41,1144.907,1339.918,370.0,,,,125.1617225,108.6383885,110.9102945,117.0149763,105.3318353,121.0040883
1993-12-31,280.28,0.016947423698532305,568.2,1158.852,1405.713,390.75,,,,127.2268909,110.1375983,111.2097523,118.3840515,104.973707,121.2823977
1994-01-31,283.1733333333333,0.010270091925147717,587.52,1201.082,1498.661,378.25,,,,130.8783027,110.2257084,112.6332371,116.3123306,106.474831,121.5856037
1994-02-28,286.06666666666666,0.010165688461833966,571.57,1167.437,1479.508,381.8,,,,127.540906,113.1687348,110.8761586,118.8130457,105.4100827,121.8409334
1994-03-31,288.96,0.010063386339306035,546.65,1117.015,1415.972,389.75,,,,121.4444507,111.9351956,112.5947391,119.6566184,106.7593318,122.169904
1994-05-31,292.28666666666663,0.005707014283153455,562.75,1152.004,1464.001,387.8,,,,122.9794405,108.0122028,115.2650584,121.6505284,108.678382,122.879512
1994-06-30,293.95,0.005674629006958476,548.96,1119.778,1460.193,388.0,,,,119.2531635,107.4937442,117.1899849,123.1224998,110.2759542,123.2604385
1994-08-31,301.73,0.012976148183421188,590.23,1203.548,1533.288,386.25,,,,127.5330084,107.0264667,114.9115186,123.5586489,108.7744181,124.0629083
1994-09-30,305.62,0.012809922429228848,575.79,1178.293,1493.268,393.8,,,,124.5869959,109.9803972,112.7971467,124.2135098,109.7533879,124.521941
1994-10-31,311.2866666666667,0.018371745214934343,588.73,1205.588,1536.017,384.5,,,,126.2564616,107.43985,110.9585532,124.5116222,108.9960895,124.9951244
1994-11-30,316.9533333333333,0.018040304188753353,567.29,1164.663,1469.67,383.0,,,,121.1557006,107.5795218,110.1485558,125.0096687,108.5710047,125.4576064
1995-01-31,328.2733333333333,0.017371434638393524,590.64,1214.883,1462.17,374.7,,,,124.3971971,104.288888,112.8116626,125.7482008,108.0691027,126.5388602
1995-02-28,333.9266666666667,0.017074813303403324,613.65,1263.074,1483.771,376.5,,,,128.9128154,103.725728,114.0413097,126.4523907,107.7665092,127.0450157
1995-03-31,339.58,0.016788151896427017,631.76,1297.222,1555.59,391.75,,,,131.736006,103.1759817,111.6692504,126.2880026,108.0251488,127.6294228
1995-05-31,352.32,0.018245597589494622,676.36,1390.833,1624.192,384.15,,,,138.4165892,100.7047064,116.1456128,127.24961,109.0955592,128.8832236
1995-06-30,358.69,0.01791865216535271,692.07,1425.372,1624.007,385.7,,,,142.1815204,103.756059,113.1955143,126.8042364,106.3899894,129.4889747
